Detail,punter,punt_distance,returner,return_distance,tackler,penalized_player,downer,blocker,recoverer,end_location,play_outcome,unprocessed
Pat O'Donnell punts 50 yards touchback.,Pat O'Donnell,50.0,,,,,,,,,touchback,yards .
Tress Way punts 48 yards returned by Tarik Cohen for 3 yards (tackle by Wendell Smallwood). Penalty on Duke Shelley: Offensive Holding 10 yards,Tress Way,48.0,Tarik Cohen,3.0,Wendell Smallwood,Duke Shelley,,,,,,yards  yards (.  Offensive Holding 10 yards
Pat O'Donnell punts 45 yards returned by Trey Quinn for 9 yards (tackle by Deon Bush),Pat O'Donnell,45.0,Trey Quinn,9.0,Deon Bush,,,,,,,yards  yards (
Pat O'Donnell punts 45 yards returned by Trey Quinn for 6 yards (tackle by Nick Kwiatkoski),Pat O'Donnell,45.0,Trey Quinn,6.0,Nick Kwiatkoski,,,,,,,yards  yards (
Ty Long punts 56 yards returned by DeAndre Carter for 11 yards (tackle by Isaac Rochell and Nick Dzubnar),Ty Long,56.0,DeAndre Carter,11.0,Isaac Rochell and Nick Dzubnar,,,,,,,yards  yards (
Corey Bojorquez punts 42 yards returned by Alex Erickson for 4 yards (tackle by Julian Stanford),Corey Bojorquez,42.0,Alex Erickson,4.0,Julian Stanford,,,,,,,yards  yards (
Lac Edwards punts 37 yards fair catch by Gunner Olszewski at NE-12,Lac Edwards,37.0,Gunner Olszewski,,,,,,,NE-12,,yards
Penalty on Ben Burr-Kirven: False Start 5 yards (no play),,,,,,Ben Burr-Kirven,,,,,,False Start 5 yards (no play)
Jamie Gillan punts 55 yards downed by Tavierre Thomas,Jamie Gillan,55.0,,,,,Tavierre Thomas,,,,,yards
Michael Dickson punts 38 yards returned by Deonte Harris for 53 yards touchdown,Michael Dickson,38.0,Deonte Harris,53.0,,,,,,,touchdown,yards  yards
Kevin Huber punts 41 yards fair catch by Andre Roberts at BUF-17,Kevin Huber,41.0,Andre Roberts,,,,,,,BUF-17,,yards
Dustin Colquitt punts 31 yards fair catch by Cyrus Jones at BAL-16,Dustin Colquitt,31.0,Cyrus Jones,,,,,,,BAL-16,,yards
Colby Wadman punts 47 yards touchback.,Colby Wadman,47.0,,,,,,,,,touchback,yards .
Johnny Hekker punts 41 yards fair catch by Jarvis Landry at CLE-35,Johnny Hekker,41.0,Jarvis Landry,,,,,,,CLE-35,,yards
A.J. Cole punts 58 yards returned by Chad Beebe for 8 yards (tackle by Maxx Crosby),A.J. Cole,58.0,Chad Beebe,8.0,Maxx Crosby,,,,,,,yards  yards (
Jamie Gillan punts 44 yards out of bounds,Jamie Gillan,44.0,,,,,,,,,out of bounds,yards
Michael Dickson punts 29 yards fair catch by Deonte Harris at NO-10,Michael Dickson,29.0,Deonte Harris,,,,,,,NO-10,,yards
Mitch Wishnowsky punts 48 yards touchback.,Mitch Wishnowsky,48.0,,,,,,,,,touchback,yards .
Britton Colquitt punts 44 yards returned by Jalen Richard for no gain (tackle by Kentrell Brothers). Penalty on Curtis Riley: Offensive Holding 10 yards,Britton Colquitt,44.0,Jalen Richard,0.0,Kentrell Brothers,Curtis Riley,,,,,,yards  (.  Offensive Holding 10 yards
Matt Wile punts 39 yards out of bounds,Matt Wile,39.0,,,,,,,,,out of bounds,yards
Lac Edwards punts 39 yards returned by Gunner Olszewski for 6 yards (tackle by Thomas Hennessy and Albert McClellan),Lac Edwards,39.0,Gunner Olszewski,6.0,Thomas Hennessy and Albert McClellan,,,,,,,yards  yards (
Matt Haack punts 31 yards fair catch by Cedrick Wilson at DAL-46,Matt Haack,31.0,Cedrick Wilson,,,,,,,DAL-46,,yards
Corey Bojorquez punts 33 yards fair catch by Alex Erickson at CIN-19,Corey Bojorquez,33.0,Alex Erickson,,,,,,,CIN-19,,yards
JK Scott punts 35 yards fair catch by Diontae Spencer at DEN-8. Penalty on Tony Brown: Fair Catch Interference 15 yards,JK Scott,35.0,Diontae Spencer,,,,,,,DEN-8. Penalty on Tony Brown: Fair Catch Interference 15 yards,,yards
Jordan Berry punts 55 yards returned by Richie James for 8 yards (tackle by Benny Snell),Jordan Berry,55.0,Richie James,8.0,Benny Snell,,,,,,,yards  yards (
Thomas Morstead punts 46 yards fair catch by Tyler Lockett at SEA-36,Thomas Morstead,46.0,Tyler Lockett,,,,,,,SEA-36,,yards
Bryan Anger punts 33 yards fair catch by Desmond King at LAC-13,Bryan Anger,33.0,Desmond King,,,,,,,LAC-13,,yards
A.J. Cole punts 60 yards returned by Chad Beebe for 13 yards (tackle by Foster Moreau),A.J. Cole,60.0,Chad Beebe,13.0,Foster Moreau,,,,,,,yards  yards (
Kevin Huber punts 48 yards fair catch by Andre Roberts at BUF-27,Kevin Huber,48.0,Andre Roberts,,,,,,,BUF-27,,yards
Lac Edwards punts 40 yards returned by Gunner Olszewski for 7 yards (tackle by Albert McClellan),Lac Edwards,40.0,Gunner Olszewski,7.0,Albert McClellan,,,,,,,yards  yards (
Thomas Morstead punts 64 yards out of bounds,Thomas Morstead,64.0,,,,,,,,,out of bounds,yards
Jordan Berry punts 53 yards returned by Richie James for 15 yards (tackle by Artie Burns),Jordan Berry,53.0,Richie James,15.0,Artie Burns,,,,,,,yards  yards (
Kevin Huber punts 39 yards returned by Andre Roberts for 4 yards (tackle by Samaje Perine),Kevin Huber,39.0,Andre Roberts,4.0,Samaje Perine,,,,,,,yards  yards (
Lac Edwards punts 54 yards returned by Gunner Olszewski for 13 yards (tackle by Ryan Griffin),Lac Edwards,54.0,Gunner Olszewski,13.0,Ryan Griffin,,,,,,,yards  yards (
Cameron Johnston punts 37 yards fair catch by Danny Amendola at DET-20,Cameron Johnston,37.0,Danny Amendola,,,,,,,DET-20,,yards
Andy Lee punts 40 yards fair catch by Ray-Ray McCloud at CAR-11,Andy Lee,40.0,Ray-Ray McCloud,,,,,,,CAR-11,,yards
Michael Dickson punts 59 yards returned by Deonte Harris for no gain (tackle by Ugochukwu Amadi),Michael Dickson,59.0,Deonte Harris,0.0,Ugochukwu Amadi,,,,,,,yards  (
Johnny Hekker punts 38 yards downed by Josh Reynolds,Johnny Hekker,38.0,,,,,Josh Reynolds,,,,,yards
Matt Haack punts 39 yards fair catch by Randall Cobb at DAL-8,Matt Haack,39.0,Randall Cobb,,,,,,,DAL-8,,yards
Jake Bailey punts 56 yards fair catch by Braxton Berrios at NYJ-12,Jake Bailey,56.0,Braxton Berrios,,,,,,,NYJ-12,,yards
Jordan Berry punts 60 yards returned by Richie James for 14 yards (tackle by Jayrone Elliott) Penalty on PIT: Illegal Shift 5 yards,Jordan Berry,60.0,Richie James,14.0,Jayrone Elliott,PIT,,,,,,yards  yards (  Illegal Shift 5 yards
Sam Martin punts 49 yards downed by Mike Ford,Sam Martin,49.0,,,,,Mike Ford,,,,,yards
Michael Palardy punts 50 yards returned by Christian Kirk for 20 yards (tackle by Alex Armah),Michael Palardy,50.0,Christian Kirk,20.0,Alex Armah,,,,,,,yards  yards (
Thomas Morstead punts 53 yards downed by Justin Hardee,Thomas Morstead,53.0,,,,,Justin Hardee,,,,,yards
Ty Long punts 45 yards fair catch by DeAndre Carter at HOU-6,Ty Long,45.0,DeAndre Carter,,,,,,,HOU-6,,yards
Jamie Gillan punts 40 yards returned by Jojo Natson for no gain (tackle by Dontrell Hilliard). Penalty on Darious Williams: Illegal Block Above the Waist 10 yards,Jamie Gillan,40.0,Jojo Natson,0.0,Dontrell Hilliard,Darious Williams,,,,,,yards  (.  Illegal Block Above the Waist 10 yards
Lac Edwards punts 47 yards returned by Gunner Olszewski for no gain (tackle by Josh Bellamy),Lac Edwards,47.0,Gunner Olszewski,0.0,Josh Bellamy,,,,,,,yards  (
Chris Jones punts 39 yards returned by Jakeem Grant for 1 yard (tackle by Justin March-Lillard and Joe Thomas),Chris Jones,39.0,Jakeem Grant,1.0,Justin March-Lillard and Joe Thomas,,,,,,,yards  yard (
Riley Dixon punts 50 yards returned by Bobo Wilson for -2 yards (tackle by Antonio Hamilton),Riley Dixon,50.0,Bobo Wilson,-2.0,Antonio Hamilton,,,,,,,yards  yards (
Jake Bailey punts 58 yards touchback.,Jake Bailey,58.0,,,,,,,,,touchback,yards .
Sam Koch punts 53 yards downed by Justin Bethel,Sam Koch,53.0,,,,,Justin Bethel,,,,,yards
Bryan Anger punts 46 yards fair catch by Desmond King at LAC-11,Bryan Anger,46.0,Desmond King,,,,,,,LAC-11,,yards
Britton Colquitt punts 51 yards muffed catch by Jalen Richard recovered by Jalen Richard at OAK-9 returned by Jalen Richard for no gain (tackle by Ameer Abdullah),Britton Colquitt,51.0,Jalen Richard,0.0,Ameer Abdullah,,,,,OAK-9  (,,yards muffed catch by Jalen Richard recovered by Jalen Richard
JK Scott punts 50 yards fair catch by Diontae Spencer at DEN-18,JK Scott,50.0,Diontae Spencer,,,,,,,DEN-18,,yards
Lac Edwards punts 44 yards returned by Gunner Olszewski for no gain (tackle by Albert McClellan and Daniel Brown),Lac Edwards,44.0,Gunner Olszewski,0.0,Albert McClellan and Daniel Brown,,,,,,,yards  (
Jamie Gillan punts 29 yards fair catch by Jojo Natson at LA-12,Jamie Gillan,29.0,Jojo Natson,,,,,,,LA-12,,yards
Kevin Huber punts 30 yards downed by Samaje Perine,Kevin Huber,30.0,,,,,Samaje Perine,,,,,yards
A.J. Cole punts 40 yards fair catch by Chad Beebe at MIN-8,A.J. Cole,40.0,Chad Beebe,,,,,,,MIN-8,,yards
Chris Jones punts 46 yards out of bounds,Chris Jones,46.0,,,,,,,,,out of bounds,yards
Colby Wadman punts 59 yards out of bounds,Colby Wadman,59.0,,,,,,,,,out of bounds,yards
Jake Bailey punts 31 yards fair catch by Braxton Berrios at NYJ-10,Jake Bailey,31.0,Braxton Berrios,,,,,,,NYJ-10,,yards
Sam Koch punts 48 yards returned by De'Anthony Thomas for 9 yards (tackle by Justin Bethel),Sam Koch,48.0,De'Anthony Thomas,9.0,Justin Bethel,,,,,,,yards  yards (
Jordan Berry punts 41 yards touchback.,Jordan Berry,41.0,,,,,,,,,touchback,yards .
Andy Lee punts 35 yards downed by Aaron Brewer,Andy Lee,35.0,,,,,Aaron Brewer,,,,,yards
A.J. Cole punts 59 yards muffed catch by Chad Beebe recovered by Chad Beebe at MIN-16 (tackle by Harrison Smith). Penalty on Kris Boyd: Illegal Block Above the Waist 8 yards,A.J. Cole,59.0,,,Harrison Smith,Kris Boyd,,,,MIN-16 (.  Illegal Block Above the Waist 8 yards,,yards muffed catch by Chad Beebe recovered by Chad Beebe
Jake Bailey punts 55 yards fair catch by Braxton Berrios at NYJ-8,Jake Bailey,55.0,Braxton Berrios,,,,,,,NYJ-8,,yards
Riley Dixon punts 44 yards returned by Bobo Wilson for 8 yards (tackle by Eric Tomlinson). Penalty on Justin Watson: Illegal Block Above the Waist 10 yards,Riley Dixon,44.0,Bobo Wilson,8.0,Eric Tomlinson,Justin Watson,,,,,,yards  yards (.  Illegal Block Above the Waist 10 yards
Bryan Anger punts 46 yards returned by Desmond King for no gain (tackle by Jahleel Addae),Bryan Anger,46.0,Desmond King,0.0,Jahleel Addae,,,,,,,yards  (
Sam Martin punts 53 yards out of bounds,Sam Martin,53.0,,,,,,,,,out of bounds,yards
Kevin Huber punts 44 yards returned by Andre Roberts for no gain (tackle by Preston Brown and Samaje Perine),Kevin Huber,44.0,Andre Roberts,0.0,Preston Brown and Samaje Perine,,,,,,,yards  (
Ty Long punts 60 yards returned by DeAndre Carter for 23 yards (tackle by Drue Tranquill),Ty Long,60.0,DeAndre Carter,23.0,Drue Tranquill,,,,,,,yards  yards (
Cameron Johnston punts 50 yards out of bounds,Cameron Johnston,50.0,,,,,,,,,out of bounds,yards
