Date,Tm,Opp,Quarter,Time,Down,ToGo,Location,Score,Detail,Yds,EPB,EPA,Diff
2019-09-23,Bears,Washington,1,10:48,4,23,CHI 50,0-0,Pat O'Donnell punts 50 yards touchback.,0,-0.060,-0.280,-0.22
2019-09-23,Washington,Bears,1,6:50,4,11,WAS 35,0-7,Tress Way punts 48 yards returned by Tarik Cohen for 3 yards (tackle by Wendell Smallwood). Penalty on Duke Shelley: Offensive Holding 10 yards,0,-1.040,0.380,1.42
2019-09-23,Bears,Washington,1,3:41,4,9,CHI 22,7-0,Pat O'Donnell punts 45 yards returned by Trey Quinn for 9 yards (tackle by Deon Bush),0,-1.900,-1.730,.17
2019-09-23,Bears,Washington,4,11:31,4,4,CHI 26,28-15,Pat O'Donnell punts 45 yards returned by Trey Quinn for 6 yards (tackle by Nick Kwiatkoski),0,-1.630,-1.270,.36
2019-09-22,Chargers,Texans,1,12:57,4,6,SDG 29,0-0,Ty Long punts 56 yards returned by DeAndre Carter for 11 yards (tackle by Isaac Rochell and Nick Dzubnar),0,-1.440,-0.670,.77
2019-09-22,Bills,Bengals,1,13:32,4,10,BUF 25,0-0,Corey Bojorquez punts 42 yards returned by Alex Erickson for 4 yards (tackle by Julian Stanford),0,-1.700,-1.400,.30
2019-09-22,Jets,Patriots,1,12:33,4,6,NWE 49,0-0,Lac Edwards punts 37 yards fair catch by Gunner Olszewski at NE-12,0,0.000,0.350,.35
2019-09-22,Seahawks,Saints,1,12:30,4,15,SEA 20,0-0,Penalty on Ben Burr-Kirven: False Start 5 yards (no play),0,-2.030,-2.440,-0.41
2019-09-22,Browns,Rams,1,12:09,4,18,CLE 27,0-0,Jamie Gillan punts 55 yards downed by Tavierre Thomas,0,-1.570,-0.040,1.53
2019-09-22,Seahawks,Saints,1,12:19,4,20,SEA 15,0-6,Michael Dickson punts 38 yards returned by Deonte Harris for 53 yards touchdown,0,-2.440,-7.000,-4.56
2019-09-22,Bengals,Bills,1,12:33,4,5,CIN 42,0-0,Kevin Huber punts 41 yards fair catch by Andre Roberts at BUF-17,0,-0.590,0.060,.65
2019-09-22,Chiefs,Ravens,1,11:01,4,26,RAV 47,0-0,Dustin Colquitt punts 31 yards fair catch by Cyrus Jones at BAL-16,0,0.130,0.140,.01
2019-09-22,Broncos,Packers,1,10:20,4,14,GNB 47,0-7,Colby Wadman punts 47 yards touchback.,0,0.130,-0.280,-0.41
2019-09-22,Rams,Browns,1,10:30,4,4,RAM 24,0-0,Johnny Hekker punts 41 yards fair catch by Jarvis Landry at CLE-35,0,-1.770,-1.270,.50
2019-09-22,Raiders,Vikings,1,10:00,4,8,RAI 27,0-7,A.J. Cole punts 58 yards returned by Chad Beebe for 8 yards (tackle by Maxx Crosby),0,-1.570,-0.480,1.09
2019-09-22,Browns,Rams,1,9:10,4,3,CLE 42,0-0,Jamie Gillan punts 44 yards out of bounds,0,-0.590,0.280,.87
2019-09-22,Seahawks,Saints,1,8:52,4,4,NOR 39,0-7,Michael Dickson punts 29 yards fair catch by Deonte Harris at NO-10,0,0.660,0.380,-0.28
2019-09-22,49ers,Steelers,1,7:03,4,7,PIT 48,0-3,Mitch Wishnowsky punts 48 yards touchback.,0,0.070,-0.280,-0.35
2019-09-22,Vikings,Raiders,1,8:54,4,4,MIN 29,7-0,Britton Colquitt punts 44 yards returned by Jalen Richard for no gain (tackle by Kentrell Brothers). Penalty on Curtis Riley: Offensive Holding 10 yards,0,-1.440,0.060,1.50
2019-09-22,Falcons,Colts,1,5:51,4,15,CLT 46,0-3,Matt Wile punts 39 yards out of bounds,0,0.200,0.380,.18
2019-09-22,Jets,Patriots,1,5:56,4,23,NYJ 12,0-6,Lac Edwards punts 39 yards returned by Gunner Olszewski for 6 yards (tackle by Thomas Hennessy and Albert McClellan),0,-2.490,-2.590,-0.10
2019-09-22,Dolphins,Cowboys,1,9:31,4,8,MIA 23,0-3,Matt Haack punts 31 yards fair catch by Cedrick Wilson at DAL-46,0,-1.830,-1.990,-0.16
2019-09-22,Bills,Bengals,1,7:11,4,24,BUF 48,0-0,Corey Bojorquez punts 33 yards fair catch by Alex Erickson at CIN-19,0,-0.190,-0.150,.04
2019-09-22,Packers,Broncos,1,8:02,4,13,DEN 43,7-0,JK Scott punts 35 yards fair catch by Diontae Spencer at DEN-8. Penalty on Tony Brown: Fair Catch Interference 15 yards,0,0.400,-0.480,-0.88
2019-09-22,Steelers,49ers,1,5:40,4,5,PIT 25,3-0,Jordan Berry punts 55 yards returned by Richie James for 8 yards (tackle by Benny Snell),0,-1.700,-0.810,.89
2019-09-22,Saints,Seahawks,1,5:59,4,2,NOR 18,7-0,Thomas Morstead punts 46 yards fair catch by Tyler Lockett at SEA-36,0,-2.240,-1.330,.91
2019-09-22,Texans,Chargers,1,4:23,4,5,SDG 46,0-7,Bryan Anger punts 33 yards fair catch by Desmond King at LAC-13,0,0.200,0.320,.12
2019-09-22,Raiders,Vikings,1,5:32,4,6,RAI 32,0-7,A.J. Cole punts 60 yards returned by Chad Beebe for 13 yards (tackle by Foster Moreau),0,-1.240,-0.340,.90
2019-09-22,Bengals,Bills,1,6:15,4,4,CIN 25,0-0,Kevin Huber punts 48 yards fair catch by Andre Roberts at BUF-27,0,-1.700,-0.740,.96
2019-09-22,Jets,Patriots,1,3:06,4,9,NYJ 26,0-13,Lac Edwards punts 40 yards returned by Gunner Olszewski for 7 yards (tackle by Albert McClellan),0,-1.630,-1.660,-0.03
2019-09-22,Saints,Seahawks,2,14:55,4,21,NOR 34,7-7,Thomas Morstead punts 64 yards out of bounds,0,-1.110,0.380,1.49
2019-09-22,Steelers,49ers,2,13:21,4,5,PIT 24,6-0,Jordan Berry punts 53 yards returned by Richie James for 15 yards (tackle by Artie Burns),0,-1.770,-1.470,.30
2019-09-22,Bengals,Bills,1,1:15,4,8,CIN 27,0-8,Kevin Huber punts 39 yards returned by Andre Roberts for 4 yards (tackle by Samaje Perine),0,-1.570,-1.470,.10
2019-09-22,Jets,Patriots,2,11:41,4,13,NYJ 22,0-20,Lac Edwards punts 54 yards returned by Gunner Olszewski for 13 yards (tackle by Ryan Griffin),0,-1.900,-1.400,.50
2019-09-22,Eagles,Lions,2,10:53,4,6,PHI 43,10-14,Cameron Johnston punts 37 yards fair catch by Danny Amendola at DET-20,0,-0.520,-0.280,.24
2019-09-22,Cardinals,Panthers,2,10:46,4,15,CRD 49,7-7,Andy Lee punts 40 yards fair catch by Ray-Ray McCloud at CAR-11,0,-0.130,0.370,.50
2019-09-22,Seahawks,Saints,2,11:17,4,2,SEA 21,7-7,Michael Dickson punts 59 yards returned by Deonte Harris for no gain (tackle by Ugochukwu Amadi),0,-1.960,-0.280,1.68
2019-09-22,Rams,Browns,2,9:35,4,10,CLE 44,3-3,Johnny Hekker punts 38 yards downed by Josh Reynolds,0,0.330,0.380,.05
2019-09-22,Dolphins,Cowboys,2,13:58,4,6,DAL 47,3-10,Matt Haack punts 39 yards fair catch by Randall Cobb at DAL-8,0,0.130,0.380,.25
2019-09-22,Patriots,Jets,2,10:08,4,14,NWE 32,20-0,Jake Bailey punts 56 yards fair catch by Braxton Berrios at NYJ-12,0,-1.240,0.350,1.59
2019-09-22,Steelers,49ers,2,10:48,4,9,PIT 8,6-0,Jordan Berry punts 60 yards returned by Richie James for 14 yards (tackle by Jayrone Elliott) Penalty on PIT: Illegal Shift 5 yards,0,-2.490,-2.320,.17
2019-09-22,Lions,Eagles,2,8:53,4,8,DET 41,14-10,Sam Martin punts 49 yards downed by Mike Ford,0,-0.650,0.380,1.03
2019-09-22,Panthers,Cardinals,2,7:46,4,4,CAR 39,7-7,Michael Palardy punts 50 yards returned by Christian Kirk for 20 yards (tackle by Alex Armah),0,-0.780,-1.000,-0.22
2019-09-22,Saints,Seahawks,2,7:49,4,2,NOR 43,7-7,Thomas Morstead punts 53 yards downed by Justin Hardee,0,-0.520,0.380,.90
2019-09-22,Chargers,Texans,2,5:13,4,11,SDG 49,10-7,Ty Long punts 45 yards fair catch by DeAndre Carter at HOU-6,0,-0.130,0.380,.51
2019-09-22,Browns,Rams,2,7:52,4,4,CLE 12,3-3,Jamie Gillan punts 40 yards returned by Jojo Natson for no gain (tackle by Dontrell Hilliard). Penalty on Darious Williams: Illegal Block Above the Waist 10 yards,0,-2.490,-1.470,1.02
2019-09-22,Jets,Patriots,2,7:20,4,2,NYJ 30,0-20,Lac Edwards punts 47 yards returned by Gunner Olszewski for no gain (tackle by Josh Bellamy),0,-1.370,-0.480,.89
2019-09-22,Cowboys,Dolphins,2,10:47,4,4,DAL 26,10-3,Chris Jones punts 39 yards returned by Jakeem Grant for 1 yard (tackle by Justin March-Lillard and Joe Thomas),0,-1.630,-1.330,.30
2019-09-22,Giants,Buccaneers,2,6:12,4,15,NYG 19,10-15,Riley Dixon punts 50 yards returned by Bobo Wilson for -2 yards (tackle by Antonio Hamilton),0,-2.140,-0.870,1.27
2019-09-22,Patriots,Jets,2,4:28,4,6,NWE 42,20-0,Jake Bailey punts 58 yards touchback.,0,-0.590,-0.280,.31
